Time,Velocity,Acceleration,Altitude,Thrust
1.08,20.05477565,18.03853615,3.286468587,14.5
1.09,20.23473363,17.9957974,3.355367705,14.5
1.1,20.4142635,17.95298775,3.424881585,14.5
1.11,20.59336458,17.91010767,3.495008759,14.5
1.12,20.77203616,17.8671576,3.56574776,14.5
1.13,20.95027754,17.82413801,3.637097119,14.5
1.14,21.12808803,17.78104935,3.709055362,14.5
1.15,21.30546695,17.73789207,3.781621015,14.5
1.16,21.48241362,17.69466663,3.8547926,14.5
1.17,21.65892735,17.65137349,3.928568638,14.5
1.18,21.83500748,17.60801311,4.002947647,14.5
1.19,22.01065334,17.56458593,4.077928143,14.5
1.2,22.18586427,17.52109243,4.15350864,14.5
1.21,22.36073811,17.4873842,4.229687816,14.5
1.22,22.53537275,17.46346455,4.306464688,14.5
1.23,22.70976756,17.43948051,4.383838434,14.5
1.24,22.88392188,17.41543234,4.461808235,14.5
1.25,23.05783508,17.39132026,4.540373267,14.5
1.26,23.23150653,17.36714452,4.619532703,14.5
1.27,23.40493558,17.34290538,4.699285716,14.5
1.28,23.57812161,17.31860307,4.779631476,14.5
1.29,23.75106399,17.29423784,4.86056915,14.5
1.3,23.92376209,17.26980993,4.942097904,14.5
1.31,24.09621529,17.24531961,5.024216902,14.5
1.32,24.26842296,17.2207671,5.106925305,14.5
1.33,24.44038449,17.19615267,5.190222271,14.5
1.34,24.61209925,17.17147656,5.274106959,14.5
1.35,24.78356664,17.14673902,5.358578523,14.5
1.36,24.95478604,17.1219403,5.443636115,14.5
1.37,25.12575685,17.09708065,5.529278887,14.5
1.38,25.29647845,17.07216033,5.615505988,14.5
1.39,25.46695025,17.04717958,5.702316564,14.5
1.4,25.63717164,17.02213867,5.789709759,14.5
1.41,25.80714202,16.99703784,5.877684717,14.5
1.42,25.97686079,16.97187734,5.966240577,14.5
1.43,26.15033942,17.34786302,6.05538334,14.5
1.44,26.32929703,17.89576118,6.145128804,14.5
1.45,26.51373274,18.44357115,6.235495707,14.5
1.46,26.69706982,18.3337079,6.326491538,14.5
1.47,26.87766325,18.05934319,6.418109728,14.5
1.48,27.05551249,17.78492396,6.51034089,14.5
1.49,27.23061703,17.51045331,6.603175639,14.5
1.5,27.40297637,17.23593429,6.696604586,14.5
1.51,27.57440932,17.14329525,6.790621453,14.5
1.52,27.7456952,17.12858837,6.885224404,14.5
1.53,27.91683342,17.11382103,6.980412934,14.5
1.54,28.08782335,17.09899337,7.076186537,14.5
1.55,28.2586644,17.08410554,7.172544706,14.5
1.56,28.42935598,17.06915769,7.269486931,14.5
1.57,28.59989748,17.05414998,7.367012698,14.5
1.58,28.77028831,17.03908255,7.465121494,14.5
1.59,28.94052786,17.02395555,7.563812802,14.5
1.6,29.11061555,17.00876914,7.663086104,14.5
1.61,29.28055079,16.99352347,7.762940879,14.5
1.62,29.45033297,16.97821869,7.863376606,14.5
1.63,29.61996152,16.96285497,7.964392758,14.5
1.64,29.78943585,16.94743245,8.065988812,14.5
1.65,29.95875536,16.93195129,8.168164236,14.5
1.66,30.12791948,16.91641165,8.270918502,14.5
1.67,30.29692762,16.90081369,8.374251076,14.5
1.68,30.46577919,16.88515756,8.478161425,14.5
1.69,30.63447363,16.86944343,8.582649011,14.5
1.7,30.80301034,16.85367145,8.687713296,14.5
1.71,30.97138876,16.83784179,8.79335374,14.5
1.72,31.1396083,16.82195461,8.899569801,14.5
1.73,31.3076684,16.80601007,9.006360933,14.5
1.74,31.47552412,16.78557132,9.113726516,14.5
1.75,31.64310831,16.75841904,9.221665735,14.5
1.76,31.81042043,16.73121168,9.33017766,14.5
1.77,31.97745992,16.70394952,9.439261359,14.5
1.78,32.14422625,16.67663284,9.548915901,14.5
1.79,32.31071887,16.64926194,9.659140349,14.5
1.8,32.47693724,16.62183709,9.769933766,14.5
1.81,32.64288082,16.59435858,9.881295213,14.5
1.82,32.80854909,16.56682669,9.993223751,14.5
1.83,32.97394151,16.5392417,10.10571843,14.5
1.84,33.13905755,16.51160391,10.21877832,14.5
1.85,33.30389668,16.4839136,10.33240247,14.5
1.86,33.46845839,16.45617106,10.44658992,14.5
1.87,33.63274216,16.42837656,10.56133973,14.5
1.88,33.79674746,16.4005304,10.67665095,14.5
1.89,33.96047379,16.37263287,10.79252262,14.5
1.9,34.12392064,16.34468425,10.90895379,14.5
1.91,34.28708748,16.31668483,11.02594351,14.5
1.92,34.44997383,16.2886349,11.1434908,14.5
1.93,34.61257918,16.26053474,11.26159473,14.5
1.94,34.77490303,16.23238465,11.38025431,14.5
1.95,34.93694488,16.20418491,11.49946859,14.5
1.96,35.09876438,16.18195007,11.61923671,14.5
1.97,35.26042118,16.16568053,11.739558,14.5
1.98,35.42191478,16.14935934,11.86043191,14.5
1.99,35.58324464,16.13298666,11.98185789,14.5
2,35.74441027,16.11656265,12.10383536,14.5
2.01,35.90541114,16.10008748,12.22636377,14.5
2.02,36.06624676,16.08356132,12.34944256,14.5
2.03,36.2269166,16.06698434,12.47307115,14.5
2.04,36.38742017,16.05035671,12.59724898,14.5
2.05,36.54775695,16.0336786,12.72197547,14.5
2.06,36.70792645,16.01695018,12.84725007,14.5
2.07,36.86792817,16.00017162,12.97307219,14.5
2.08,37.0277616,15.98334308,13.09944126,14.5
2.09,37.18742625,15.96646476,13.22635671,14.5
2.1,37.34692162,15.9495368,13.35381795,14.5
2.11,37.50624721,15.9325594,13.48182441,14.5
2.12,37.66540254,15.91553272,13.6103755,14.5
2.13,37.82438711,15.89845694,13.73947064,14.5
2.14,37.98320043,15.88133222,13.86910925,14.5
2.15,38.14184202,15.86415876,13.99929074,14.5
2.16,38.30031138,15.84693672,14.13001453,14.5
2.17,38.45860805,15.82966627,14.26128001,14.5
2.18,38.61673152,15.8123476,14.3930866,14.5
2.19,38.77468133,15.79498089,14.52543371,14.5
2.2,38.932457,15.7775663,14.65832075,14.5
2.21,39.09005804,15.76010403,14.7917471,14.5
2.22,39.24741089,15.73528529,14.92571207,14.5
2.23,39.4045151,15.71042158,15.06021478,14.5
2.24,39.56137024,15.68551315,15.1952544,14.5
2.25,39.71797584,15.66056025,15.33083007,14.5
2.26,39.87433147,15.63556313,15.46694093,14.5
2.27,40.03043669,15.61052206,15.60358613,14.5
2.28,40.18629106,15.58543727,15.74076481,14.5
2.29,40.34189415,15.56030903,15.87847612,14.5
